country,age,men 1980 [%],men 2000  [%],men 2050 [%],women 1980 [%],women 2000 [%],women 2050 [%],men 1980,men 2000,men 2050,women 1980,women 2000,women 2050
DENMARK,30 - 34,8.37573097622871,8.04920956584395,6.10783789114728,7.76792060401143,7.4993221180186,5.7280098746139,211792,212026,153077.035885667,201530,202174,151656.449705302
DENMARK,25 - 29,7.57095022262964,7.36856531322391,6.40114919238664,7.02867111627097,7.02192999213249,5.97209232996559,191442,194097,160428.119098036,182351,189304,158118.847540551
DENMARK,20 - 24,7.52036965339853,6.5379280078903,6.46228081944549,6.99571536716945,6.21574192189093,5.81121671669481,190163,172217,161960.223982909,181496,167570,153859.458173759
DENMARK,15 - 19,7.99999525436411,5.44371141503697,6.0978281884106,7.44869310218826,5.11662723019463,5.47510995955745,202291,143394,152826.168778135,193248,137939,144960.598251167
DENMARK,10 - 14,7.90773218320211,5.81856117522271,5.65061183824364,7.32889606334904,5.39645987958739,5.07629178057676,199958,153268,141617.85668747,190140,145483,134401.37254693
DENMARK,5 - 9,7.35423285016169,6.65375407820898,5.35202417348944,6.86597378649608,6.17738734083684,4.81273228706663,185962,175268,134134.535177113,178130,166536,127423.295003974
DENMARK,0 - 4,6.35286412967608,6.63708818346303,5.28392759774022,5.90975598098665,6.14875123196472,4.75479106411194,160641,174829,132427.87200834,153322,165764,125889.226390748
GERMANY,85+,0.496353022287802,0.971661254979419,4.92303140775348,1.21403326995246,2.93208386420707,8.07597869282894,184878,389866,1801148,498255,1234051,3126952
GERMANY,80 - 84,1.10704459493418,1.00933230059256,4.91829737679199,2.32687821732339,2.33284913973268,6.18258329962695,412344,404981,1799416,954981,981846,2393845
GERMANY,75 - 79,2.46527531674796,2.35501482492098,4.88397565232118,4.02667342603719,4.52371192749033,5.57093797281972,918248,944918,1786859,1652599,1903933,2157021
GERMANY,70 - 74,3.58935471261257,3.78464284434314,5.54490869319781,5.54785585845399,4.89350275167312,5.91561219118044,1336937,1518537,2028669,2276912,2059570,2290476
